Date,AAPL,AMZN,KO,MSFT,NKE
"2010-12-30",11.559286,182.75,32.75,27.85,21.440001
"2010-12-31",11.52,180,32.884998,27.91,21.355
"2011-01-03",11.770357,184.220001,32.610001,27.98,21.522499
"2011-01-04",11.831786,185.009995,31.934999,28.09,20.9925
"2011-01-05",11.928572,187.419998,31.745001,28,21.129999
"2011-01-06",11.918928,185.860001,31.514999,28.82,20.940001
"2011-01-07",12.004286,185.490005,31.459999,28.6,20.8825
"2011-01-10",12.230357,184.679993,31.530001,28.219999,21.0425
"2011-01-11",12.201428,184.339996,31.344999,28.110001,21.004999
"2011-01-12",12.300714,184.080002,31.52,28.549999,20.932501
"2011-01-13",12.345715,185.529999,31.700001,28.190001,20.639999
"2011-01-14",12.445714,188.75,31.565001,28.299999,21.0175
"2011-01-18",12.166072,191.25,31.74,28.66,21.014999
"2011-01-19",12.101429,186.869995,31.709999,28.469999,20.915001
"2011-01-20",11.881429,181.960007,31.465,28.35,20.7675
"2011-01-21",11.668571,177.419998,31.385,28.02,20.575001
"2011-01-24",12.051785,176.850006,31.625,28.379999,20.665001
"2011-01-25",12.192857,176.699997,31.48,28.450001,20.719999
"2011-01-26",12.280357,175.389999,31.48,28.780001,21
"2011-01-27",12.2575,184.449997,31.35,28.870001,20.692499
"2011-01-28",12.003572,171.139999,31.105,27.75,20.365
"2011-01-31",12.118571,169.639999,31.424999,27.73,20.620001
"2011-02-01",12.3225,172.110001,31.525,27.99,20.887501
"2011-02-02",12.297143,173.529999,31.43,27.940001,20.977501
"2011-02-03",12.265715,173.710007,31.285,27.65,20.950001
"2011-02-04",12.375,175.929993,31.280001,27.77,21.434999
"2011-02-07",12.567142,176.429993,31.26,28.200001,21.625
"2011-02-08",12.685715,183.059998,31.434999,28.280001,21.6775
"2011-02-09",12.791429,185.300003,31.575001,27.969999,21.8125
"2011-02-10",12.662143,186.210007,31.77,27.5,21.6975
"2011-02-11",12.744643,189.25,31.785,27.25,21.5525
"2011-02-14",12.827857,190.419998,31.57,27.23,21.442499
"2011-02-15",12.853572,189.029999,31.594999,26.959999,21.387501
"2011-02-16",12.968928,186.619995,31.700001,27.02,21.4375
"2011-02-17",12.796429,187.759995,32.275002,27.209999,21.51
"2011-02-18",12.52,186.5,32.275002,27.059999,22.205
"2011-02-22",12.093214,180.419998,31.879999,26.59,21.807501
"2011-02-23",12.236428,176.679993,31.955,26.59,21.547501
"2011-02-24",12.245714,177.75,31.940001,26.77,21.629999
"2011-02-25",12.434286,177.240005,32.154999,26.549999,21.995001
"2011-02-28",12.614643,173.289993,31.959999,26.58,22.2575
"2011-03-01",12.475357,169.440002,32.455002,26.16,21.924999
"2011-03-02",12.575714,172.020004,32.215,26.08,22.0825
"2011-03-03",12.841429,172.789993,32.785,26.200001,22.459999
"2011-03-04",12.857142,171.669998,32.605,25.950001,22.469999
"2011-03-07",12.691428,169.080002,32.610001,25.719999,22.23
"2011-03-08",12.705714,166.889999,32.82,25.91,22.297501
"2011-03-09",12.588214,169.050003,32.810001,25.889999,22.237499
"2011-03-10",12.381071,166.139999,32.645,25.41,22.045
"2011-03-11",12.571072,168.070007,32.404999,25.68,21.7925
"2011-03-14",12.627143,166.729996,31.969999,25.690001,21.5525
"2011-03-15",12.336785,165.080002,31.514999,25.389999,21.3325
"2011-03-16",11.786072,164.699997,30.799999,24.790001,21.205
"2011-03-17",11.951428,160.970001,31.139999,24.780001,21.352501
"2011-03-18",11.809643,161.820007,31.35,24.799999,19.397499
