IDΣυναλλαγής,Πελάτης,Ημερομηνία,Έσοδα,Κόστος,ΚατάστασηΠληρωμής
T-001,Alpha Trading,02/01/2024,1200,900,Εξοφλημένη
T-002,Beta Consulting,03/01/2024,850,600,Εκκρεμεί
T-003,Gamma Partners,04/01/2024,1500,1200,Εξοφλημένη
T-004,Delta Supplies,05/01/2024,600,580,Εκκρεμεί
T-005,Epsilon Services,06/01/2024,980,700,Εξοφλημένη
T-006,Alpha Trading,07/01/2024,1100,950,Εκκρεμεί
T-007,Beta Consulting,08/01/2024,900,880,Εξοφλημένη
T-008,Gamma Partners,09/01/2024,1400,1000,Άγνωστο
T-009,Delta Supplies,10/01/2024,500,550,Εξοφλημένη
T-010,Epsilon Services,11/01/2024,1250,1000,Εκκρεμεί
T-011,Alpha Trading,12/01/2024,1300,800,Εξοφλημένη
T-012,Beta Consulting,13/01/2024,700,650,Εκκρεμεί
T-013,Gamma Partners,14/01/2024,1800,1500,Εξοφλημένη
T-014,Delta Supplies,15/01/2024,450,430,Εκκρεμεί
T-015,Epsilon Services,16/01/2024,0,300,Εξοφλημένη
T-016,Alpha Trading,17/01/2024,1600,1100,Εξοφλημένη
T-017,Beta Consulting,18/01/2024,920,900,Εκκρεμεί
T-018,Gamma Partners,19/01/2024,1700,1200,Εξοφλημένη
T-019,Delta Supplies,20/01/2024,800,750,Εκκρεμεί
T-020,Epsilon Services,21/01/2024,1000,950,Εξοφλημένη
T-021,Alpha Trading,22/01/2024,1450,1200,Εκκρεμεί
T-022,Beta Consulting,23/01/2024,890,870,Εξοφλημένη
T-023,Gamma Partners,24/01/2024,2000,1700,Εκκρεμεί
T-024,Delta Supplies,25/01/2024,620,500,Εξοφλημένη
T-025,Epsilon Services,26/01/2024,1150,900,Εκκρεμεί
T-026,Alpha Trading,27/01/2024,1350,1000,Εξοφλημένη
T-027,Beta Consulting,28/01/2024,940,960,Εκκρεμεί
T-028,Gamma Partners,29/01/2024,0,1100,Εξοφλημένη
T-029,Delta Supplies,30/01/2024,780,-200,Εκκρεμεί
T-030,Epsilon Services,31/01/2024,1220,980,Άγνωστο
T-031,Alpha Trading,01/02/2024,1500,1400,Εξοφλημένη
T-032,Beta Consulting,02/02/2024,870,600,Εκκρεμεί
T-033,Gamma Partners,03/02/2024,2100,1900,Εξοφλημένη
T-034,Delta Supplies,04/02/2024,720,700,Εκκρεμεί
T-035,Epsilon Services,05/02/2024,990,980,Εξοφλημένη
T-036,Alpha Trading,06/02/2024,1750,1200,Εκκρεμεί
T-037,Beta Consulting,07/02/2024,960,930,Εξοφλημένη
T-038,Gamma Partners,08/02/2024,2300,1800,Εκκρεμεί
T-039,Delta Supplies,09/02/2024,640,610,Εξοφλημένη
T-040,Epsilon Services,10/02/2024,1100,1080,Εκκρεμεί
T-041,Alpha Trading,11/02/2024,1580,1300,Εξοφλημένη
T-042,Beta Consulting,12/02/2024,910,890,Εκκρεμεί
T-043,Gamma Partners,13/02/2024,2400,2100,Εξοφλημένη
T-044,Delta Supplies,14/02/2024,700,680,Εκκρεμεί
T-045,Epsilon Services,15/02/2024,1080,1000,Εξοφλημένη
T-046,Alpha Trading,16/02/2024,1620,1500,Εκκρεμεί
T-047,Beta Consulting,17/02/2024,880,400,Εξοφλημένη
T-048,Gamma Partners,18/02/2024,1950,1600,Εκκρεμεί
T-049,Delta Supplies,19/02/2024,690,670,Εξοφλημένη
T-050,Epsilon Services,20/02/2024,1300,900,Εκκρεμεί
